Country,Country_mapped
Domestic,"['United States of America', 'Canada']"
France,['France']
Spain,['Spain']
Germany,['Germany']
United Kingdom,['United Kingdom']
Australia,['Australia']
South Korea,['South Korea']
Bulgaria,['Bulgaria']
Italy,['Italy']
Croatia,['Croatia']
Slovenia,['Slovenia']
New Zealand,['New Zealand']
Bolivia,['Bolivia']
Netherlands,['Netherlands']
Portugal,['Portugal']
Belgium,['Belgium']
Mexico,['Mexico']
Argentina,['Argentina']
Venezuela,['Venezuela']
Colombia,['Colombia']
Peru,['Peru']
Chile,['Chile']
Central America,['other']
Ecuador,['other']
Uruguay,['Uruguay']
India,['India']
Singapore,['Singapore']
Taiwan,['Taiwan']
Türkiye,['Turkey']
South Africa,['South Africa']
United Arab Emirates,['United Arab Emirates']
Czech Republic,['Czech Republic']
Brazil,['Brazil']
Russia/CIS,['Russia']
Iceland,['Iceland']
Austria,['Austria']
Norway,['Norway']
Slovakia,['Slovakia']
Latvia,['other']
Thailand,['Thailand']
Philippines,['Philippines']
Denmark,['Denmark']
Switzerland,['Switzerland']
Sweden,['Sweden']
Greece,['Greece']
Poland,['Poland']
Finland,['Finland']
Romania,['Romania']
Serbia and Montenegro,['Serbia and Montenegro']
Lebanon,['Lebanon']
Hong Kong,['Hong Kong']
China,['China']
Japan,['Japan']
Malaysia,['Malaysia']
Kuwait,['Kuwait']
Ukraine,['Ukraine']
Hungary,['Hungary']
East Africa,['other']
Nigeria,['Nigeria']
Lithuania,['Lithuania']
Estonia,['Estonia']
Egypt,['Egypt']
Israel,['Israel']
Russia,['Russia']
S/E/W Africa,['other']
Puerto Rico,['Puerto Rico']
Vietnam,['Vietnam']
Switzerland (German),['Switzerland']
Switzerland (French),['Switzerland']
Bahrain,['Bahrain']
Qatar,['Qatar']
Switzerland (Italian),['Switzerland']
Central America+,['other']
Ghana,['other']
Indonesia,['Indonesia']
Middle East,['other']
Jamaica,['Jamaica']
Lesser Antilles,['other']
Middle East Other,['other']
Cyprus,['Cyprus']
Middle East/UAE,['United Arab Emirates']
Pakistan,['Pakistan']
Kenya,['Kenya']
Dominican Republic,['other']
Oman,['other']
Panama,['Panama']
Jordan,['Jordan']
Trinidad & Tobago,['other']
Curaçao,['Aruba']
Aruba,['Aruba']
Sri Lanka,['Sri Lanka']
New Caledonia,['other']
Bangladesh,['Bangladesh']
Morocco,['Morocco']
Mauritius,['other']
Reunion,['other']
Tunisia,['Tunisia']
Djibouti,['other']
Paraguay,['other']
Ethiopia,['Ethiopia']
Czech Republic/Slovakia,['Czechoslovakia']
South Africa/Nigeria,"['South Africa', 'Nigeria']"
North Macedonia,['Republic of Macedonia']
Russia/CIS/Ukraine,"['Russia', 'Ukraine']"
Baltic States,"['Lithuania', 'Estonia']"
West Indies,['other']
Greece and Cyprus,['Greece']
Palestine,['Mandatory Palestine']
Lebanon/United Arab Emirates,"['Lebanon', 'United Arab Emirates']"
Guatemala,['other']
Costa Rica,['Costa Rica']
El Salvador,['other']
Honduras,['other']
Nicaragua,['other']
E/W Africa,['other']
Canada,['Canada']
Yugoslavia,['Yugoslavia']
Syria,['other']
Laos,['other']
Ireland,['Ireland']
Mongolia,['Mongolia']
Cambodia,['Cambodia']
Saudi Arabia,['other']
Netherlands Antilles,['other']
Bosnia,['Bosnia and Herzegovina']
Switzerland (French/Italian),['Switzerland']
Iraq,['Iraq']
Malta,['Malta']
